Review_Date,Reviewer_Name,Rating,Review_Text
2024-03-18,OpenTable Diner,5.0,"great service, delicious food, we will be back for certain!"
2024-03-17,drrobertj,5.0,loved the whole experience! wanted fresh steam clams and lobster and got that and then some. great service to the lovely greek lady .
2024-03-15,gigi,5.0,we had a lovely 85th birthday celebration for 3 generations. shea was a fabulous hostess and server. the food was versatile and delicious! we thank you for the new menu especially for 3 gluten free patrons. the desert additions were splendid. you will remain our favorite spot for special occasions! many thanks.
2024-03-10,OpenTable Diner,3.0,our wait person was fantastic! the linguini and clams was ok. the grilled cod and winter veggies (consisting mostly of undercooked carrots) were doused in oil.  now my stomach is complaining. i think the quality of their food has gone way down.
2024-03-09,MrPink33,1.0,"first bad experience in over 20 years.  ordered blackened salmon medium well with rice and fries.  the plate that came was grilled salmon undercooked.  before sending it back i asked the waitress to examine and she agreed it was wrong.  i asked for a new plate, what came back was the same piece of fish just grilled more, so dry it fell apart.  the rice was half the portion of the first plate and cold.  and the other side was asparagus instead of the fries.  i sent it back a second time and the same piece of fish came back, same small portion of rice cold, and new fries very hot.  so all they did the second third time was replace the asparagus with the fried.  the manager came over on her own as the waitress reported it to her, and the manager agreed it was completely wrong.  she offered a free appetizer which at that point i didn't want.  she offered a free dessert to take home which i didn't want as i am pre-diabetic.  she offered to discount the entree, but when the check came it was the full amount but with a 20% employee discount.  unbelievably bad all the way around.  left hungry and shocked as i never had a bad experience at any legal location until this one.  will hope the management reads this and make the necessary changes in the kitchen.   shocked and disappointed.  i'm willing to chalk it up to a bad experience and will go back to legal again, but if this ever happens again in the future i will never go back.  busy saturday night is no excuse, you can't strike out three times on the food, make meager offer of food substitute, and then discount in an insulting way."
2024-03-08,JulieD,4.0,"we had a wonderful time celebrating my husband's birthday with family and friends.  patrick is an excellent waiter, and the food was wonderful."
2024-03-08,GEORGEB,4.0,great seafood! good service. not cheap but great quality food
2024-03-07,LynneS,5.0,we had a lovely experience and particularly appreciated our server pat.
2024-03-07,Newcomer,5.0,"good food, service, ambience. better than other legal locations."
2024-03-06,JaneB,5.0,"great experience at legal seafood last night... as usual, the food was top-notch. we had a wonderful waiter - smiling jeff!"
2024-03-06,LarryP,3.0,"we showed up with a reservation for a group of 6.  they wanted us to squeeze in a circular booth maybe adequate for 4.  when i went back to teh front to explain that we do not fit or will not sit uncomfortable, the host was uncooperative explaining they were reserved (untrue as they were empty and continued empty after we left).  so after i said that we will simply not eat there, we were sat on an appropriate size circular table.  but, my experience started on the wrong note and ruined by an employee that was un-accomodating without reason.  the food experience, i will not go over it because the evening started wrong and when one pays ls prices, one expects a complete positive experience.  i will say that sean was a fantastic waiter."
2024-03-03,PeggyR,5.0,delicious fresh seafood prepared in so many creative ways or just in a traditional manner. we've been eating at legal's for decades. framingham is a great location that has become a favorite!
2024-03-02,PeeJay,3.0,food was fair. steak was very undercooked and full of gristle.  i expected a better cut cooked properly for that price.  shrimp was over cooked and rubbery.  broccoli and asparagus were both almost raw.  server was nice but inexperienced.  host staff was frazzled and unappreciative; very curt.  restrooms filthy and unstocked; plumbing broken. the quality at legal continues to spiral downward.  no longer even a mediocre chain.
2024-03-02,OpenTable Diner,1.0,for $119 we had 2 cups of chowder- 2 seafood casseroles and 2 lemonades. the menu looked like something from the 70s. the casserole wasn’t on the menu we had to ask and the took mashed potatoes off the menu!!!!! are you kidding??!! the casserole was $42 and half the size of we the original owners had. one scallop in the damn thing! for that price and no alcohol is ridiculous! won’t be back anytime soon! so disappointed!
2024-03-01,Flapper,5.0,"our waitress was awesome, attentive and very friendly.
you can’t go wrong with legal’s!"
2024-03-01,Ballou,5.0,"jeff, our server, was excellent. very attentive and helpful with food suggestions. the legal app offered a discount which made it even more enjoyable. salmon for my wife - crispy fish sandwich for me!"
2024-03-01,Foodie888,4.0,wonderful how my reservation was almost exactly at 7:00pm. the waiter was a bit curt.
2024-02-29,OttyMatic,4.0,the lobsters were great.  great taste and great price.
2024-02-29,OpenTable Diner,5.0,"chea, our server, was excellent!  she was prompt, professional, and fun to talk to. she did a great job of managing a very busy night."
2024-02-29,OpenTable Diner,5.0,sat in the bar area and amanda was our server.  she did an awesome job!
2024-02-29,out2dine,5.0,"we visited legal seafood for their leap year day special of twin lobsters.  we’re so glad we were able to make a reservation with opentable to get in. the restaurant was very busy and we had to wait about 20 minutes, but it was well worth the wait. the server and wait staff were very friendly and gave us excellent service. the lobsters were very delicious and some parts were pre-opened to make it easier for us. one of the managers came by our table twice to ask how we were enjoying the meal and briefly chat with us. it’s a very nice gesture for the manager to take the time to make sure everything is ok. we had about a 2 hour leisurely meal while we each ate (2) 1 lb lobsters. i would definitely recommend legal seafood and this location. it is one of our favorite restaurants and we continue to return."
2024-02-29,aceandhoney,2.0,"lobsters were dry and tasteless, as if they were previously baked (burn marks), frozen and then quickly steamed to resurrect them. this legal need a real make-over. the silver duct tape on the black bench seats has to be replaced with new seats and the splattered food residue on the wall and table lamp needs a serious clean-up. hardly an appealing dining experience. our server judy was excellent but with the other downsides we won't return until legal framingham cleans up its act."
2024-02-29,Dave,5.0,great lunch today. boiled lobster was delicious and easy to crack open. the scallops were also excellent! the service and our waitress were exceptional.
2024-02-28,israelb,1.0,"my order was bad the food cook well done burn 
scallops and the weggi was burn too"
2024-02-28,drray123,5.0,"waitress was excellent
food hot good tasting"
2024-02-27,AnthonyS,5.0,excellent wait staff and a great place to celebrate special events.
2024-02-27,Marnie,3.0,salad was great.  sushi o.k and had to request soy sauce on side.
2024-02-25,KarenB,5.0,"my husband and i were seated immediately! the waitress appeared in less than two minutes and took our drink and appetizer order which we received in a timely manner. i ordered the baked stuffed lobster stuffed with moist breadcrumbs, shrimp (were not shrimpy ) and scallops which was amazing . the lobster was sweet and tender.  my husband ordered steamed lobster and enjoyed it thoroughly. framingham legal seafood restaurant never ceases to amaze!!!!"
2024-02-24,OpenTable Diner,5.0,"we enjoyed the food, ambience and service!  will definitely recommend to friends and colleagues."
2024-02-23,Cesare,5.0,server jeff -excellent- ambiance great- welcoming staff - a+
2024-02-21,Barbara,4.0,the food is really good.  our only complaint is that there was too much of it.
2024-02-20,MichaelV,4.0,"food was okay.
service was okay.
convenient location.
plenty of parking."
2024-02-20,DarleneD,5.0,"both the salmon and swordfish meals were delicious. service was excellent as well. we prefer this legal over the one in chestnut hill even though it’s a little farther away from us. much nicer ambiance and not as cramped, plus we prefer a booth. the new menu format is great too!"
2024-02-18,SteveD,4.0,my family had a great me and it was cooked to perfection. the only thing i would say that was negative it is the small selection of desserts.
2024-02-18,HenryK,2.0,"i made a reservation for 2 on open table for 7 15 and we were finally seated at 7 50.
the food was fantastic and michael was a superb server.  it was pretty clear too many walkins were seated first.  the waiting area was overcrowded and my wife had her hip replaced 2 months ago and having a reservation was very important to our having a good time - having to stand for 30 minutes wasn't a good idea."
2024-02-17,JohnE,5.0,"had a bonus coupon from the holidays that was expiring so, i decided to go for lunch. had a caesar salad which was huge, and quite good. and a bowl of clam chowder which is always good but, seemed better than i remembered. thoroughly enjoyed"
2024-02-17,KP21,4.0,"our server tom was outstanding, and the meals were delicious.  flatbread appetizer was at best ordinary. did i mention tom? the menu here has changed...not sure if that is positive or negative. the prices have jumped...a lot. $120 for lunch with no alcohol seems steep (2 entrees, 1 app). again...the food was delicious but the value??"
2024-02-17,BostonTastes,2.0,"we were seated in a booth with duct taped seats. gray duct tape. the section has multiple booths like this. legals must be on hard times if they can’t repair or replace them. the cherry stones we had were fine and the chowder too. however, we both ordered the fried fish sandwich and we both received something that tasted like nothing. it was like they ran out of fresh fish and went to the supermarket and bought two little frozen fish nuggets to put on a bun. i wonder if this location is still owned by legals because if it is they need to get somebody out here and quality check it. i’ll return to legal harborside or legals at chestnut hill but this one is a hard pass going forward. and thank god, i live equidistance to row 34 in burlington."
2024-02-17,Wade,5.0,"tony and the staff are great. we have enjoyed having jeff, matt and mike serve us.
the food is excellently prepared and is piping hot when it arrives to the table."
2024-02-17,OpenTable Diner,4.0,"everything was good. we were seated 20 minutes late, which is not good"
2024-02-16,YSKim,5.0,"as always, our meals were prepared to our exact order and delivered to our table efficiently.  our server judith l made our dining experience fun and memorable.  the manager came to our table to greet us in the beginning and then later dropped by to make sure our expectations were met.  they were exceeded!"
2024-02-14,jsands222,5.0,"food is consistently good. fresh and  well prepared. excellent service. 

love the bob bons for dessert. always a great. 

will return"
2024-02-14,Mike,4.0,the back room was not nice compared to restaurant
2024-02-14,Jaye,4.0,"the menu and  quality have changed greatly since original owner sold.    mypartners cioppini was very good.   my salmon was dry, vege's grilled and burned.   the cole slaw was the best thing."
