Review_Date,Reviewer_Name,Rating,Review_Text
2024-03-18,OpenTable Diner,5.0,"Great service, delicious food, we will be back for certain!"
2024-03-17,drrobertj,5.0,Loved the whole experience! Wanted fresh steam clams and lobster and got that and then some. Great service to the lovely Greek lady .
2024-03-15,gigi,5.0,We had a lovely 85th birthday celebration for 3 generations. Shea was a fabulous hostess and server. The food was versatile and delicious! We thank you for the new menu especially for 3 gluten free patrons. The desert additions were splendid. You will remain our favorite spot for special occasions! Many thanks.
2024-03-10,OpenTable Diner,3.0,Our wait person was fantastic! The linguini and clams was ok. The grilled cod and winter veggies (consisting mostly of undercooked carrots) were doused in oil.  Now my stomach is complaining. I think the quality of their food has gone way down.
2024-03-09,MrPink33,1.0,"First bad experience in over 20 years.  Ordered Blackened Salmon medium well with rice and fries.  The plate that came was grilled salmon undercooked.  Before sending it back I asked the waitress to examine and she agreed it was wrong.  I asked for a new plate, what came back was the same piece of fish just grilled more, so dry it fell apart.  The rice was half the portion of the first plate and cold.  And the other side was asparagus instead of the fries.  I sent it back a second time and the same piece of fish came back, same small portion of rice cold, and new fries very hot.  So all they did the second third time was replace the asparagus with the fried.  The manager came over on her own as the waitress reported it to her, and the manager agreed it was completely wrong.  She offered a free appetizer which at that point I didn't want.  She offered a free dessert to take home which I didn't want as I am pre-diabetic.  She offered to discount the entree, but when the check came it was the full amount but with a 20% employee discount.  Unbelievably bad all the way around.  Left hungry and shocked as I never had a bad experience at any Legal location until this one.  Will hope the management reads this and make the necessary changes in the kitchen.   Shocked and disappointed.  I'm willing to chalk it up to a bad experience and will go back to Legal again, but if this ever happens again in the future I will never go back.  Busy Saturday night is no excuse, you can't strike out three times on the food, make meager offer of food substitute, and then discount in an insulting way."
2024-03-08,JulieD,4.0,"We had a wonderful time celebrating my husband's birthday with family and friends.  Patrick is an excellent waiter, and the food was wonderful."
2024-03-08,GEORGEB,4.0,Great seafood! Good service. Not cheap but great quality food
2024-03-07,LynneS,5.0,We had a lovely experience and particularly appreciated our server Pat.
2024-03-07,Newcomer,5.0,"Good food, service, ambience. Better than other Legal locations."
2024-03-06,JaneB,5.0,"Great experience at legal seafood last night... As usual, the food was top-notch. We had a wonderful waiter - smiling Jeff!"
2024-03-06,LarryP,3.0,"We showed up with a reservation for a group of 6.  They wanted us to squeeze in a circular booth maybe adequate for 4.  When I went back to teh front to explain that we do not fit or will not sit uncomfortable, the host was uncooperative explaining they were reserved (untrue as they were empty and continued empty after we left).  SO after I said that we will simply not eat there, we were sat on an appropriate size circular table.  BUT, my experience started on the wrong note and ruined by an employee that was un-accomodating without reason.  The food experience, I will not go over it because the evening started wrong and when one pays LS prices, one expects a complete positive experience.  I WILL say that Sean was a fantastic waiter."
2024-03-03,PeggyR,5.0,Delicious fresh seafood prepared in so many creative ways or just in a traditional manner. We've been eating at Legal's for decades. Framingham is a Great location that has become a favorite!
2024-03-02,PeeJay,3.0,Food was fair. Steak was very undercooked and full of gristle.  I expected a better cut cooked properly for that price.  Shrimp was over cooked and rubbery.  Broccoli and asparagus were both almost raw.  Server was nice but inexperienced.  Host staff was frazzled and unappreciative; very curt.  Restrooms filthy and unstocked; plumbing broken. The quality at Legal continues to spiral downward.  No longer even a mediocre chain.
2024-03-02,OpenTable Diner,1.0,For $119 we had 2 cups of chowder- 2 seafood casseroles and 2 lemonades. The menu looked like something from the 70s. The casserole wasn’t on the menu we had to ask and the took mashed potatoes off the menu!!!!! Are you kidding??!! The casserole was $42 and half the size of we the original owners had. One scallop in the damn thing! For that price and no alcohol is ridiculous! Won’t be back anytime soon! So disappointed!
2024-03-01,Flapper,5.0,"Our waitress was awesome, attentive and very friendly.
You can’t go wrong with Legal’s!"
2024-03-01,Ballou,5.0,"Jeff, our server, was excellent. Very attentive and helpful with food suggestions. The Legal app offered a discount which made it even more enjoyable. Salmon for my wife - crispy fish sandwich for me!"
2024-03-01,Foodie888,4.0,Wonderful how my reservation was almost exactly at 7:00pm. The waiter was a bit curt.
2024-02-29,OttyMatic,4.0,The lobsters were great.  Great taste and great price.
2024-02-29,OpenTable Diner,5.0,"Chea, our server, was excellent!  She was prompt, professional, and fun to talk to. She did a great job of managing a very busy night."
2024-02-29,OpenTable Diner,5.0,Sat in the bar area and Amanda was our server.  She did an awesome job!
2024-02-29,out2dine,5.0,"We visited Legal Seafood for their Leap Year Day special of twin lobsters.  We’re so glad we were able to make a reservation with OpenTable to get in. The restaurant was very busy and we had to wait about 20 minutes, but it was well worth the wait. The server and wait staff were very friendly and gave us excellent service. The lobsters were very delicious and some parts were pre-opened to make it easier for us. One of the managers came by our table twice to ask how we were enjoying the meal and briefly chat with us. It’s a very nice gesture for the manager to take the time to make sure everything is ok. We had about a 2 hour leisurely meal while we each ate (2) 1 LB lobsters. I would definitely recommend Legal Seafood and this location. It is one of our favorite restaurants and we continue to return."
2024-02-29,aceandhoney,2.0,"Lobsters were dry and tasteless, as if they were previously baked (burn marks), frozen and then quickly steamed to resurrect them. This Legal need a real make-over. The silver duct tape on the black bench seats has to be replaced with new seats and the splattered food residue on the wall and table lamp needs a serious clean-up. Hardly an appealing dining experience. Our server Judy was excellent but with the other downsides we won't return until Legal Framingham cleans up its act."
2024-02-29,Dave,5.0,Great lunch today. Boiled lobster was delicious and easy to crack open. The scallops were also excellent! The service and our waitress were exceptional.
2024-02-28,israelb,1.0,"My order was bad the food cook well done burn 
Scallops and the weggi was burn too"
2024-02-28,drray123,5.0,"Waitress was excellent
Food hot good tasting"
2024-02-27,AnthonyS,5.0,Excellent wait staff and a great place to celebrate special events.
2024-02-27,Marnie,3.0,Salad was great.  Sushi o.k and had to request soy sauce on side.
2024-02-25,KarenB,5.0,"My husband and I were seated immediately! The waitress appeared in less than two minutes and took our drink and appetizer order which we received in a timely manner. I ordered the baked stuffed lobster stuffed with moist breadcrumbs, shrimp (were not shrimpy ) and scallops which was amazing . The lobster was sweet and tender.  My husband ordered steamed lobster and enjoyed it thoroughly. Framingham Legal Seafood Restaurant never ceases to amaze!!!!"
2024-02-24,OpenTable Diner,5.0,"We enjoyed the food, ambience and service!  Will definitely recommend to friends and colleagues."
2024-02-23,Cesare,5.0,Server Jeff -excellent- ambiance great- welcoming staff - A+
2024-02-21,Barbara,4.0,The food is really good.  Our only complaint is that there was too much of it.
2024-02-20,MichaelV,4.0,"Food was okay.
Service was okay.
Convenient Location.
Plenty of Parking."
2024-02-20,DarleneD,5.0,"Both the salmon and swordfish meals were delicious. Service was excellent as well. We prefer this Legal over the one in Chestnut Hill even though it’s a little farther away from us. Much nicer ambiance and not as cramped, plus we prefer a booth. The new menu format is great too!"
2024-02-18,SteveD,4.0,My family had a great me and it was cooked to perfection. The only thing I would say that was negative it is the small selection of desserts.
2024-02-18,HenryK,2.0,"I made a reservation for 2 on Open Table for 7 15 and we were finally seated at 7 50.
The food was fantastic and Michael was a superb server.  It was pretty clear too many walkins were seated first.  The waiting area was overcrowded and my wife had her hip replaced 2 months ago and having a reservation was very important to our having a good time - having to stand for 30 minutes wasn't a good idea."
2024-02-17,JohnE,5.0,"Had a bonus coupon from the holidays that was expiring so, I decided to go for lunch. Had a Caesar salad which was huge, and quite good. And a bowl of clam chowder which is always good but, seemed better than I remembered. Thoroughly enjoyed"
2024-02-17,KP21,4.0,"Our server Tom was outstanding, and the meals were delicious.  Flatbread appetizer was at best ordinary. Did I mention Tom? The menu here has changed...not sure if that is positive or negative. The prices have jumped...a lot. $120 for lunch with no alcohol seems steep (2 entrees, 1 app). Again...the food was delicious but the value??"
2024-02-17,BostonTastes,2.0,"We were seated in a booth with duct taped seats. Gray duct tape. The section has multiple booths like this. Legals must be on hard times if they can’t repair or replace them. The cherry stones we had were fine and the chowder too. However, we both ordered the fried fish sandwich and we both received something that tasted like nothing. It was like they ran out of fresh fish and went to the supermarket and bought two little frozen fish nuggets to put on a bun. I wonder if this location is still owned by legals because if it is they need to get somebody out here and quality check it. I’ll return to legal Harborside or legals at Chestnut Hill but this one is a hard pass going forward. And thank God, I live equidistance to Row 34 in Burlington."
2024-02-17,Wade,5.0,"Tony and the staff are great. We have enjoyed having Jeff, Matt and Mike serve us.
The food is excellently prepared and is piping hot when it arrives to the table."
2024-02-17,OpenTable Diner,4.0,"Everything was good. We were seated 20 minutes late, which is not good"
2024-02-16,YSKim,5.0,"As always, our meals were prepared to our exact order and delivered to our table efficiently.  Our server Judith L made our dining experience fun and memorable.  The manager came to our table to greet us in the beginning and then later dropped by to make sure our expectations were met.  They were exceeded!"
